ecosystem,file,name,constraint,before,stable,declared,after,note
"cargo","rust/alera-cli/Cargo.toml","serde_urlencoded","0.7","0.7.1","0.7.1","0.7.1","0.7.1",""
"cargo","rust/alera-cli/Cargo.toml","sysinfo","0.39.6","0.39.6","0.39.6","0.39.6","0.39.6",""
"cargo","rust/alera-cli/Cargo.toml","async-trait","0.1.91","0.1.91","0.1.92","0.1.92","0.1.92",""
"cargo","rust/alera-cli/Cargo.toml","tracing","0.1","0.1.44","0.1.44","0.1.44","0.1.44",""
"cargo","rust/alera-cli/Cargo.toml","tracing-subscriber","0.3","0.3.23","0.3.23","0.3.23","0.3.23",""
"cargo","rust/alera-cli/Cargo.toml","sentry","0.49","0.49.0","0.49.2","0.49.2","0.49.2",""
"cargo","rust/alera-cli/Cargo.toml","keyring","3.6.3","3.6.3","4.2.0","3.6.3","3.6.3","3.6.3 retained on macOS/Windows; Linux uses keyring-core 1.0.0 + dbus-secret-service-keyring-store 1.0.1"
"cargo","rust/alera-cli/Cargo.toml","whisper-rs","0.16.0","0.16.0","0.16.0","0.16.0","0.16.0",""
"cargo","rust/alera-cli/Cargo.toml","libc","0.2","0.2.189","0.2.189","0.2.189","0.2.189",""
"cargo","rust/alera-cli/Cargo.toml","atspi","0.30","0.30.0","0.30.0","0.30.0","0.30.0",""
"cargo","rust/alera-cli/Cargo.toml","uiautomation","0.25","0.25.0","0.25.0","0.25.0","0.25.0",""
"cargo","rust/alera-cli/Cargo.toml","windows","0.62.2","0.56.0;0.62.2","0.62.2","0.62.2","0.56.0;0.62.2",""
"cargo","rust/alera-cli/Cargo.toml","objc2-application-services","0.3","0.3.2","0.3.2","0.3.2","0.3.2",""
"cargo","rust/alera-cli/Cargo.toml","objc2-core-foundation","0.3","0.3.2","0.3.2","0.3.2","0.3.2",""
"cargo","rust/alera-cli/Cargo.toml","tempfile","3","3.27.0","3.27.0","3.27.0","3.27.0",""
"cargo","rust/alera-mobile-native/Cargo.toml","hound","3.5","3.5.1","3.5.1","3.5.1","3.5.1",""
